name,asset_type_name,description
Category 2091,Tangible assets,Description for category 2091
Category 2092,Operating assets,Description for category 2092
Category 2093,Operating assets,Description for category 2093
Category 2094,Intangible assets,Description for category 2094
Category 2095,Operating assets,Description for category 2095
Category 2096,Intangible assets,Description for category 2096
Category 2097,Tangible assets,Description for category 2097
Category 2098,Operating assets,Description for category 2098
Category 2099,Operating assets,Description for category 2099
Category 2100,Intangible assets,Description for category 2100
Category 2101,Operating assets,Description for category 2101
Category 2102,Intangible assets,Description for category 2102
Category 2103,Tangible assets,Description for category 2103
Category 2104,Tangible assets,Description for category 2104
Category 2105,Tangible assets,Description for category 2105
Category 2106,Intangible assets,Description for category 2106
Category 2107,Operating assets,Description for category 2107
Category 2108,Intangible assets,Description for category 2108
Category 2109,Intangible assets,Description for category 2109
Category 2110,Operating assets,Description for category 2110
Category 2111,Intangible assets,Description for category 2111
Category 2112,Intangible assets,Description for category 2112
Category 2113,Operating assets,Description for category 2113
Category 2114,Intangible assets,Description for category 2114
Category 2115,Tangible assets,Description for category 2115
Category 2116,Tangible assets,Description for category 2116
Category 2117,Intangible assets,Description for category 2117
Category 2118,Intangible assets,Description for category 2118
Category 2119,Tangible assets,Description for category 2119
Category 2120,Intangible assets,Description for category 2120
Category 2121,Tangible assets,Description for category 2121
Category 2122,Tangible assets,Description for category 2122
Category 2123,Intangible assets,Description for category 2123
Category 2124,Tangible assets,Description for category 2124
Category 2125,Intangible assets,Description for category 2125
Category 2126,Operating assets,Description for category 2126
Category 2127,Tangible assets,Description for category 2127
Category 2128,Operating assets,Description for category 2128
Category 2129,Tangible assets,Description for category 2129
Category 2130,Intangible assets,Description for category 2130
Category 2131,Intangible assets,Description for category 2131
Category 2132,Operating assets,Description for category 2132
Category 2133,Tangible assets,Description for category 2133
Category 2134,Tangible assets,Description for category 2134
Category 2135,Intangible assets,Description for category 2135
Category 2136,Operating assets,Description for category 2136
Category 2137,Operating assets,Description for category 2137
Category 2138,Intangible assets,Description for category 2138
Category 2139,Operating assets,Description for category 2139
Category 2140,Tangible assets,Description for category 2140
